"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"GQ02"	"GQ02_01"	"GQ02_02"	"GQ02_03"	"GQ02_04"	"GQ02_05"	"GQ02_06"	"GQ02_09"	"GQ02_10"	"GQ02_07"	"GQ02_07a"	"BI01"	"BI02"	"BI04_01"	"BI05"	"BI05_01"	"BI05_02"	"BI05_03"	"BI05_04"	"BI05_05"	"BI05_06"	"BI05_07"	"BI05_08"	"BI05_09"	"BI05_10"	"BI05_11"	"BI05_12"	"BI05_13"	"BI05_14"	"BI05_15"	"BI05_16"	"BI05_17"	"BI05_18"	"BI05_19"	"BI05_20"	"BI05_21"	"BI05_22"	"BI05_23"	"BI05_24"	"BI05_27"	"BI05_25"	"BI05_25a"	"BI05_26"	"BI06_01"	"BI07"	"BI08"	"BI08_01"	"BI08_02"	"BI08_03"	"BI08_04"	"BI08_05"	"BI08_06"	"BI08_07"	"BI08_08"	"BI08_09"	"BI08_10"	"BI08_11"	"BI08_11a"	"BI08_12"	"BI09"	"BI09_01"	"BI09_01a"	"BI09_02"	"BI09_03"	"BI09_04"	"BI09_05"	"BI09_06"	"BI09_07"	"BI09_08"	"BI09_08a"	"BI10"	"BI11"	"PR01"	"PR01_01"	"PR01_02"	"PR01_03"	"PR01_04"	"PR01_05"	"PR01_05a"	"PR01_06"	"PR03"	"PR07_02"	"PR07_03"	"PR07_04"	"PR07_05"	"PR07_06"	"PR07_07"	"PR07_08"	"PR07_09"	"PR07_10"	"PR07_01"	"DS04"	"DS09"	"DS10"	"DS11"	"DS11_01"	"DS11_02"	"DS11_03"	"DS11_04"	"DS11_05"	"DS11_06"	"DS11_06a"	"DS13_01"	"DS13_02"	"DS13_03"	"DS13_04"	"DS13_05"	"DS13_06"	"DS13_07"	"DS13_08"	"DS13_09"	"DS13_10"	"DS13_11"	"DS13_12"	"DS02_01"	"DS02_02"	"DS02_03"	"DS02_04"	"DS02_05"	"DS02_06"	"NA01"	"NA01_04"	"NA02"	"NA02_06"	"NA03"	"NA04"	"NA05"	"NA05_01"	"NA05_02"	"NA05_03"	"NA05_04"	"NA05_05"	"NA05_06"	"NA05_06a"	"NA06"	"NA07"	"SP01"	"SP01_01"	"SP01_02"	"SP01_03"	"SP01_04"	"SP01_05"	"SP01_06"	"SP01_06a"	"SP01_07"	"PD01_01"	"PD02"	"PD10"	"PD04"	"PD04_07"	"PD05_01"	"PD06"	"PD06_07"	"PD06_08"	"PD07"	"PD07_06"	"PD08"	"PD09"	"PD09_01"	"PD09_02"	"PD09_03"	"PD12_01"	"FB01_01"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
400	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:47:07	2	T	T	F	F	F	F	F	F	F		1	2																																															1	F		F	F	F	F	T	F	F		5		1	F	F	F	F	F		T	4	5	5	6	4	4	5	3	2	5	6	2	2	5	2	T	F	T	F	F	F		6	7	4	4	6	2	5	5	4	5	4	2	1	6	6	7	3	1	1		1		2	2										2	1	T	F	F	F	F	F		F	38	2	1	6		12	9			9		1	2	T	T	F	"Germany"		2708	21	5	10		14	12		14	503	51	75	22	80	38		13	7	65	46	566		2020-12-01 10:48:31	T	F	20	20	2	0	0.85	6
420	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:49:29	3	T	T	F	T	F	F	F	F	F		1	1	94	2	F	F	F	T	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F		F	2	5	1	F	F	F	F	F	F	F	F	F	F	F		T												3		2	F	T	F	T	F		F	5	6	6	2	2	1	1	1	1	1	4	1	5	1									6	4	2	4	1	1	1	1	1	3	3	4	6	3	2	6	6	1	1		1		1	1	3		T	T	T	F	F		3	2	4	T	T	T	F	T	F		F	45	1	1	6		23	9			5		2	2	T	T	F			3	8	4	4	39		7		8	42	4	27		43	17	11	6	8	36	21	288		2020-12-01 09:54:18	T	F	20	20	3	1	1.85	57
421	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:49:29	1	T	F	F	F	F	F	F	F	F		1	2																																															2	T	"NIFTI"	F	F	F	F	F	F	T	"Nifti works fine. "	2	1	3	T	T	F	F	T	"Note: not sure if you are asking about neuroimaging here (I've preregistered only behavioral)"	F	1	7	6	4	6	1	1	1	5	1	1	1	3	2	2	F	T	T	F	F	F		5	3	1	5	1	1	1	1	1	6	3	4	2	3	7	2	2	2	3		3		1	1	2	F	T		F	F	T	"Freesurfer"	3	2	1	F	F	T	F	F	F		F		1	2	6		14	9			9		2	2	T	T	F	"United States"	"Some of the questions were not easy to understand what you meant. For example, on the barriers question, you asked us to strongly disagree/agree on having had training on preregistering/submitting data but I didn't know if you meant if I agree/disagree that I've had training or if you are asking if this is a barrier."	22	6	4	23		24	21	5	52	72	9	51	13	49	15	24	8	5	54	116	473		2020-12-01 09:59:02	T	F	20	20	2	2	1.21	18
431	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:51:30	3	T	T	F	T	F	F	F	F	F		1	1	20	2	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T	F		F	4	3	1	F	F	F	F	F	F	F	F	F	F	F		T												4		1	F	F	T	F	F		F	2	4	5	1	5	1	3	1	5	1	1	1	2	3	2	F	T	F	F	F	T	"patenting"	5	3	3	5	1	1	2	1	6	5	2	7	2	5	6	6	1	1	3		2		3	1	1	F		F	F	F	T	"eeglab, mne-python"	1	2	2	F	F	T	F	T	F		F	43	2	1	2		9	9			9		2	2	T	T	F	"italy"	"the question about software was difficult to answer for people like me with expertise in fMRI but mainly EEG. It shifted the focus on fMRI only"	10	13	6	32	48		16		24	73	21	78	43	77	54	23	16	7	72	79	692		2020-12-01 10:03:02	T	F	20	20	0	0	0.87	6
432	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:51:36	4	T	T	F	F	F	F	T	F	T	"ifcMRI"	2	2																																															1	T	"University specific depository"	F	F	F	F	F	F	F		4		1	F	F	F	F	F		T	3	7	3	6	7	7	5	1	1	7	5	1	4	2	3	T	F	T	T	F	F		7	7	7	6	7	5	5	7	6	1	2	1	5	7	7	7	3	2	1		1		2	1	2		T	F	F	F	T	"DPARSF / REST"	3	1	1	T	F	F	F	F	F		F	45	2	1	1		18	7	"Neurology"		10		1	3	T	T	T	"GErmany"		116	24	7	49		35	16		46	72	124	62	26	102	29	40	9	14	87	17	760		2020-12-01 10:06:11	T	F	20	20	2	0	0.68	0
433	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:51:51	2	T	T	F	F	F	F	F	F	F		1	2																																															1	F		F	F	F	F	F	F	T	"easy enough to convert if requested, don't really like .tsv format for my behavioral data, for certain complex experiments it's easier to have my data in my own personal format"	4		1	F	F	F	F	F		T	4	1	5	1	7	2	1	3	5	2	5	1	5	5	1	F	F	F	F	F	T	"often I don't share it because it's not explicitly requested or required"	1	1	1	3	1	1	1	1	4	4	4	1	7	4	3	1	1	1	3		6	"python"	1	1	3	T	T	T	F	F	F		2	2	3	F	F	T	F	T	T	"pygame"	F	29	1	2	2		7	9			3		6	1	T	F	F	"Japan"	"Hey BIDS people! I think BIDS is good but there isn't enough incentive to put my data in that format. Some quirks (.tsv versus .csv format) make it less desirable for me to use (I know there are text fields in some studies that use commas, which is why you don't use csv, but it still bugs me). I'm also not really incentivized to upload my data anywhere. I've had to review papers for journals that require raw data to be posted, and it's often in a much worse format than BIDS (usually some weird custom folder structure), so I agree standardized formats are helpful. Good luck!!!"	44	25	4	38		218	24		19	123	26	75	196	143	399	28	6	29	185	320	859		2020-12-01 10:23:33	T	F	20	20	0	0	0.53	2
435	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:52:04	3	T	T	F	F	F	F	T	F	F		1	2																																															1	F		F	F	T	F	F	F	F		4		1	F	F	F	F	F		T	4	5	5	4	3	2	4	2	3	1	2	1	5	1									3	2	5	3	2	1	1	1	6	2	2	7	7	1	1	2	1	1	3		1		2	1	2		T	F	T	F	F		3	2	2	F	F	T	F	T	F		F	33	1	2	6		11	9			9		2	2	T	T	F	"United Kingdom"		26	53	5	6		17	19		12	136	6	64		86	30	14	11	10	96	45	636		2020-12-01 10:02:40	T	F	20	20	2	0	0.98	8
436	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:52:50	3	T	T	T	F	F	F	F	F	F		2	2																																															1	F		T	F	F	F	F	F	F		2	1	1	F	F	T	F	F		F	1	6	5	1	4	1	1	1	1	1	1	1	1	4	2	T	F	T	F	F	F		6	3	1	1	3	1	1	1	5	5	2	2	1	1	6	1	1	1	2		1		2	1	1		T	F	F	F	F		4	2	1	F	F	T	F	F	F		F	38	1	1	3		16	1			10		1	2	T	T	F			5	11	4	7		17	14	8	33	98	6	83	45	104	35	13	6	11	72	10	582		2020-12-01 10:02:32	T	F	20	20	3	1	1.2	19
437	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:53:24	3	T	T	F	F	F	F	T	F	F		1	2																																															3	F		F	T	T	F	T	F	F		5		1	F	F	F	F	F		T	2	6	7	5	4	3	5	2	4	2	2	1	4	2	2	F	T	T	F	F	F		7	7	7	7	6	2	5	2	5	5	3	6	6	6	7	7	2	4	1		6	"Custom Matlab software"	1	1	4	T	T	T	T	F	F		2	1	1	F	F	T	F	F	F		F	47	2	2	7	"Physician-scientist: MD (medical doctor) and PhD in Neuroscience"	20	9			5		2	3	T	T	T	"USA"		30	10	5	38		19	11		15	49	6	60	16	46	37	14	7	12	110	12	497		2020-12-01 10:01:41	T	F	20	20	2	0	1.11	10
439	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:55:51	1	T	F	F	F	F	F	F	F	F		1	2																																															1	F		F	F	F	T	F	F	F		3		1	F	T	F	F	F		F	5	1	1	3	6	1	6	7	7	1	1	1	3	2	1	F	T	F	F	F	F		7	6	2	5	2	2	5	2	6	6	6	6	2	2	6	6	2	4	2		1		1	1	1		F	F	F	F	T	"r-statistics"	1	2	1	T	F	F	F	F	F		F	47	1	1	6		20	9			9		2	1	T	F	F	"Germany"		92	22	8	31		16	37		45	93	35	106	37	97	56	26	15	11	98	30	855		2020-12-01 10:10:06	T	F	20	20	2	0	0.6	0
